            diagnosis       F1          F2          F3           F4          F5         F6         F7         F8          F9          F10         F11         F12         F13        F14         F15         F16        F17        F18          F19          F20          F21          F22         F23         F24         F25         F26         F27         F28         F29       F30
F9          0.0180992   -0.317749   -0.0687715   -0.268103    -0.28856    0.582435   0.560161   0.329768   0.158464    0.475301    0.296561     0.130864    0.306324   0.216374    0.188984    0.418973   0.341438   0.392571    0.447109    0.329914     0.179703     0.0965327    0.212084     0.170721    0.424045    0.46783     0.429023    0.425146   0.696745    0.434165      0
F10         -0.565373    0.678711    0.287615    0.690955     0.732879    0.296856   0.490415   0.627609   0.694661    0.296561   -0.00987482   0.167216   0.0289128   -0.101053   0.404647    0.55796    0.445962   0.340231    0.342378    0.688115     -0.263188   -0.0461529    -0.216279   -0.241737    0.50276     0.453168    0.340717    0.167737   0.326735    0.765562      0
F11         0.0070243   -0.0963549   0.385865    -0.085643   -0.0653747   0.0701391  0.0499629  0.0793739  0.0241433   0.130864    0.167216     0.216973    0.972555   0.951299    0.166369    0.352758   0.331148   0.513456    0.237103    0.225172     0.712921      0.20219     0.716847     0.74951     0.137142    0.278836    0.374852    0.526312   0.0834977   0.0414319     0
F12         -0.554416    0.67419     0.295219    0.692689     0.727493    0.290958   0.541495   0.655856   0.707006    0.306324    0.0289128    0.972555    0.227668   0.114701    0.397158    0.233432   0.195864   0.231095    0.413361    0.280908     -0.110189     0.40843     -0.100448   -0.0815141  -0.0724858  -0.0904071  -0.0671392  -0.117934   -0.126357  -0.0438844     0
F13         -0.546343    0.735854    0.271431     0.74454     0.800829    0.241523   0.447968   0.612945   0.686826    0.216374    -0.101053    0.951299    0.114701   0.936973    0.153235    0.413312    0.3616    0.557131    0.262925    0.241505     0.694883      0.20897      0.71797     0.728451    0.124602    0.333231    0.412914    0.549884    0.09755    0.0765656     0
F14         0.0666286   -0.222432   0.00585505   -0.202511    -0.166555   0.333703   0.137857    0.10019   0.0287715   0.188984    0.404647     0.166369    0.397158   0.153235   0.0765085    0.281035   0.269319   0.415262    0.129938    0.123864     0.755596     0.203894     0.758802     0.809912    0.120501    0.274952    0.379415    0.533493   0.0628407  0.00913603     0
F15         -0.290866    0.203984    0.197833    0.248532     0.210802    0.316475   0.739278   0.669304   0.488058    0.418973     0.55796     0.352758    0.233432   0.413312    0.281035    0.337722   0.269093   0.328818    0.414437    0.428043     -0.230713   -0.0753808    -0.217463   -0.182092    0.315438   -0.0549064  -0.0577325  -0.101618   -0.107025   0.102554      0
F16         -0.252567    0.193099    0.146559     0.22689     0.206677    0.247046   0.572048    0.69251   0.438624    0.341438    0.445962     0.331148    0.195864    0.3616     0.269319    0.269093   0.801183   0.743973    0.393106    0.802973     0.201171     0.146616     0.256768     0.195721    0.225045    0.677841    0.637729    0.480853   0.273746    0.589329      0
F17         -0.407293    0.375435    0.16696     0.406473     0.371635     0.37982   0.644837    0.68469   0.616413    0.392571    0.340231     0.513456    0.231095   0.557131    0.415262    0.328818   0.743973   0.771614    0.308465    0.727078     0.185165     0.102187      0.2249      0.186546    0.167143    0.484675    0.662781    0.439793   0.195679    0.438513      0
F18         0.0091705   -0.106777   0.0133867   -0.0844156   -0.0746378   0.198262   0.225748   0.173926   0.0908483   0.447109    0.342378     0.237103    0.413361   0.262925    0.129938    0.414437   0.393106   0.308465    0.311926    0.610666      0.35719     0.0885007    0.394316     0.341279    0.214234    0.452754    0.549505    0.602813   0.140911    0.309544      0
F19        -0.0760679   -0.0444726  0.0580305   -0.00756767  -0.0214929   0.281917   0.507276   0.448172   0.255168    0.329914    0.688115     0.225172    0.280908   0.241505    0.123864    0.428043   0.802973   0.727078    0.610666    0.367937     -0.132506   -0.0749332    -0.109049   -0.114929   -0.0153475  0.0553614   0.0330205   -0.0352619  0.386871    0.0744947     0
F20         -0.775725    0.969964    0.361964    0.969675     0.963319    0.209018   0.531125   0.685826   0.829188    0.179703    -0.263188    0.712921   -0.110189   0.694883    0.755596   -0.230713   0.201171   0.185165    0.35719     -0.132506   -0.0406576   -0.00102668  -0.00470462  -0.0260429   0.168857    0.388609    0.378364    0.21268    0.107497    0.590615      0
F21         -0.461443    0.30044     0.91202     0.307013     0.290565    0.0399769  0.258877   0.308645   0.301004   0.0965327   -0.0461529    0.20219     0.40843     0.20897    0.203894   -0.0753808  0.146616   0.102187   0.0885007   -0.0749332   -0.00102668   0.366179     0.993814     0.983919    0.21322     0.471449    0.570994    0.785908   0.236712    0.0876219     0
F22         -0.78247     0.966231    0.369573    0.971157      0.96044    0.234093   0.585188   0.726703   0.854468    0.212084    -0.216279    0.716847   -0.100448    0.71797    0.758802   -0.217463   0.256768    0.2249     0.394316    -0.109049   -0.00470462   0.993814     0.372962     0.352448    0.229277    0.369929    0.375497    0.367555   0.241615    0.224867      0
F23         -0.732925    0.941537    0.353434    0.941735     0.959952    0.202344   0.504612   0.673187    0.80812    0.170721    -0.241737    0.74951    -0.0815141  0.728451    0.809912   -0.182092   0.195721   0.186546    0.341279    -0.114929   -0.0260429    0.983919     0.352448     0.977475    0.232911    0.524406    0.615071    0.814596   0.261299    0.132155      0
F24         -0.419731    0.117392   0.0827145    0.148059     0.121543    0.804667   0.564204   0.446155   0.450145    0.424045     0.50276     0.137142   -0.0724858  0.124602    0.120501    0.315438   0.225045   0.167143    0.214234   -0.0153475    0.168857      0.21322     0.229277     0.232911    0.205573    0.433217    0.539917    0.745417   0.201508    0.073323      0
F25         -0.589453    0.411329    0.290229    0.453304     0.388554     0.46909   0.864097   0.751937   0.663532    0.46783     0.453168     0.278836   -0.0904071  0.333231    0.274952   -0.0549064  0.677841   0.484675    0.452754    0.0553614    0.388609     0.471449     0.369929     0.524406    0.433217    0.566435    0.516469    0.545762   0.491526    0.616128      0
F26         -0.658348    0.525454    0.311122    0.562165     0.511392    0.431727   0.815021   0.883184   0.750169    0.429023    0.340717     0.374852   -0.0671392  0.412914    0.379415   -0.0577325  0.637729   0.662781    0.549505    0.0330205    0.378364     0.570994     0.375497     0.615071    0.539917    0.516469    0.891409    0.799028   0.609502    0.809083      0
F27         -0.793181    0.744025    0.306278    0.770783     0.722009    0.500119    0.81381   0.859918   0.909272    0.425146    0.167737     0.526312   -0.117934   0.549884    0.533493   -0.101618   0.480853   0.439793    0.602813   -0.0352619     0.21268     0.785908     0.367555     0.814596    0.745417    0.545762    0.799028    0.854217    0.52789    0.684258      0
F28         -0.413382    0.159877    0.116263    0.184458     0.139856    0.390161   0.502439   0.401782   0.368009    0.696745    0.326735    0.0834977   -0.126357    0.09755   0.0628407   -0.107025   0.273746   0.195679    0.140911    0.386871     0.107497     0.236712     0.241615     0.261299    0.201508    0.491526    0.609502    0.52789    0.497027    0.507314      0
F29         -0.320983   0.00333921   0.127177    0.0469094   0.000382235  0.496684   0.684961   0.510736   0.363277    0.434165    0.765562    0.0414319   -0.0438844  0.0765656  0.00913603   0.102554   0.589329   0.438513    0.309544    0.0744947    0.590615     0.0876219    0.224867     0.132155    0.073323    0.616128    0.809083    0.684258   0.507314    0.533789      0
F30             0           0           0            0            0           0          0          0          0          0            0           0           0           0          0           0           0          0          0            0            0            0            0           0           0           0           0           0           0           0         0
